test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 9c9dAd; 36.35
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 9c9dTd; 28.23
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 9c9dTh; 26.78
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 9cAcAd; 29.47
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 9cKdKh; 38.76
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 9cQcQd; 21.27
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 9cTcTd; 25.28
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 9cTdTh; 24.08
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; AcAdAh; 27.50
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; JcJdJh; 29.21
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; JcQcKc; 21.69
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; JcQdKd; 29.54
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; JcQdKh; 26.86
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; KcKdKh; 33.35
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; QcAdAh; 22.62
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; QcKcKd; 33.51
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; QcQdKd; 33.91
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; QcQdKh; 29.59
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; TcJcQc; 40.67
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; TcJdJh; 29.85
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; TcJdQd; 41.40
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; TcJdQh; 41.65
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; TcKdKh; 40.67
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; TcTdJd; 26.30
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; TcTdQh; 21.23
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 5cTcQd; 26.72
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 4c9dJh; 27.43
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 3c6d9c; 32.69
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 2c6d9h; 28.78
